2018-04-15 14:41:01,"b""RT @AAPRaigad: Can we really expect #BalatkariJantaParty to act to save women and children when it's their own leaders are so often the cul\xe2\x80\xa6"""
2018-04-15 14:41:01,b'Best example of #BalatkariJantaParty  \nShri Yogi Adityanath. https://t.co/QpuvulQ0ZY'
2018-04-15 14:41:00,"b""RT @AAPlogical: #SpeakUpIndia before it's too late. We must save our India from the devils of #BalatkariJantaParty! https://t.co/f3W9Mnmz9D"""
2018-04-15 14:40:57,b'RT @AAPVed: Any answer to this question???\n#BalatkariJantaParty https://t.co/5ZSXELm1bB'
2018-04-15 14:40:55,b'RT @Sakshi_Singh2: The Actual Full Form of BJP must be : #BalatkariJantaParty\n\nThe Accused in Unnao Rape Case is BJP MLA.\n\nThe MLAs who cam\xe2\x80\xa6'
2018-04-15 14:40:55,"b""RT @AtishiMarlena: Delhi's Aam Aurat and Aadmi on the streets to register their protest against the #BalatkariJantaParty \n\nThousands of pro\xe2\x80\xa6"""
2018-04-15 14:40:55,"b'RT @i_theindian: UN has taken note of the #KathuaRapeCase. Terming the rape and murder as ""horrific"", the UN has expressed hope that Modi w\xe2\x80\xa6'"
2018-04-15 14:40:51,b'RT @AAPVed: Pakistan - Child Rapist Sentence To Death \nIndia - \xe2\x80\x9cHindu Ekta Munch\xe2\x80\x9d takes out rally holding India flag to PROTECT the child r\xe2\x80\xa6'
2018-04-15 14:40:50,"b'RT @AAPlogical: Members of #BalatkariJantaParty protected, supported and defended these filthy scum Sanghis! https://t.co/nCoobsMTOz'"
2018-04-15 14:40:50,b'RT @Ankita_Shah8: BJP MLAs/MPs are involved in rape cases...Our PM @narendramodi\nis sitting relaxed like always...I am ashamed as an Indian\xe2\x80\xa6'
2018-04-15 14:40:49,b'RT @AAPlogical: The finance minister of India calls rapes as small incidents. No wonder he belongs to #BalatkariJantaParty https://t.co/Trk\xe2\x80\xa6'
2018-04-15 14:40:48,b'RT @Mayavi101: When Nirbhaya happened India stood united against the rapists.\nWhen #Unnao  &amp; #Kathua happened #balatkarijantaparty defends\xe2\x80\xa6'
2018-04-15 14:40:43,b'RT @DaaruBaazMehta: MUST WATCH N SHARE\n\nDelhi CM @ArvindKejriwal Speaks to Media about the recent Rape cases and how the BJP Govt and its L\xe2\x80\xa6'
